"Year","HDI","Coal","Oil","Gas","Hydropower","Nuclear","Wind","Other_renewables","Solar","Biofuel"
2012,"Medium",3930.638,2905.697,1211.549,343.42,92.354,72.548,51.36,5.811,0.637
2012,"Very high",13889.133,29922.775,23078.001,4119.983,5575.255,990.129,760.374,239.128,540.553
2013,"High",26049.81,13861.355,8271.372,4196.415,615.451,389.902,291.171,27.885,223.368
2013,"Medium",4189.787,2969.937,1147.755,485.835,103.363,80.965,57.562,9.611,0.75
2013,"Very high",13868.146,29896.629,23415.127,4239.116,5552.252,1143.887,797.5,315.295,549.882
2014,"High",25776.165,14033.305,8682.883,4511.168,673.376,466.457,336.131,70.347,261.263
2014,"Medium",4618.4,3018.843,1151.51,448.685,99.355,92.09,62.813,13.67,0.644
2014,"Very high",13646.556,29965.968,23173.473,4128.884,5580.094,1222.319,828.521,414.736,569.064
2015,"High",25285.587,14248.949,8923.299,4533.672,761.714,568.536,365.253,116.432,274.412
2015,"Medium",4733.845,3218.346,1186.261,433.555,108.102,91.202,66.738,18.202,1.168
2015,"Very high",12926.477,30397.304,23565.858,4068.417,5546.94,1419.316,876.293,506.428,583.242
2016,"High",25187.913,14391.379,9142.794,4683.029,862.443,744.132,393.18,190.952,277.33
2016,"Medium",4817.247,3532.806,1269.365,423.759,108.894,120.376,64.369,32.408,1.919
2016,"Very high",12252.138,30890.638,24069.363,4149.882,5519.006,1530.922,865.094,587.66,611.238
2017,"High",25250.17,14670.476,9662.096,4777.138,957.531,927.5,445.819,331.061,286.282
2017,"Medium",5008.944,3636.305,1336.341,427.17,113.225,144.415,65.009,57.951,1.181
2017,"Very high",12144.758,31091.348,24439.079,4111.468,5462.971,1749.189,890.931,708.417,625.798
2018,"High",25684.508,14904.85,10316.906,4860.491,1060.508,1102.518,488.72,495.586,336.545
2018,"Medium",5380.762,3712.967,1447.381,430.278,121.405,167.255,67.601,96.077,1.302
2018,"Very high",11895.825,31325.401,25581.926,4201.533,5455.589,1848.328,913.667,828.878,641.145
2019,"High",26470.444,15373.251,10560.757,5018.061,1187.948,1233.581,527.81,660.011,398.244
2019,"Medium",5442.764,3766.872,1606.002,500.236,135.406,180.261,65.133,122.542,1.295
2019,"Very high",10744.623,31201.934,25934.217,4085.431,5514.573,2079.611,959.727,960.528,638.398
