"Year","HDI","Solar","Biofuel","Wind","Coal","Nuclear","Other_renewables","Gas","Oil","Hydropower"
1990,"High",0.009,68.095,0.009,8208.048,249.45,45.934,2759.501,6135.267,1368.972
1990,"Medium",0,0,0.084,1316.107,18.93,0.104,302.103,1086.737,250.657
1990,"Very high",1.071,17.743,9.995,15513.878,5197.168,267.485,15243.269,27861.779,3863.094
1991,"High",0.012,70.99,0.028,8413.244,249.886,47.671,2803.745,6279.699,1416.476
1991,"Medium",0,0,0.314,1396.629,16.204,0.264,303.372,1056.598,267.809
1991,"Very high",1.392,20.556,11.008,15020.752,5458.593,279.68,15704.252,27784.02,3922.739
1992,"High",0.016,69.464,0.368,8726.103,246.433,51.992,2712.886,6496.209,1447.967
1992,"Medium",0,0,0.246,1476.572,19.323,0.332,325.71,1194.84,269.401
1992,"Very high",1.286,23.497,12.532,14598.301,5507.15,298.403,15860.89,28195.342,3898.048
1993,"High",0.022,72.437,0.592,9103.318,248.543,52.543,2529.266,6593.098,1577.689
1993,"Medium",0,0,0.263,1529.733,18.426,0.7,353.188,1300.837,277.441
1993,"Very high",1.527,27.734,14.959,14315.227,5706.57,310.822,16264.107,27823.071,4116.711
1994,"High",0.028,77.263,1.08,9479.611,271.098,57.324,2637.043,6821.985,1654.508
1994,"Medium",0,0,0.531,1578.801,15.37,1.056,376.876,1417.142,304.65
1994,"Very high",1.64,31.933,18.134,14052.507,5799.575,320.065,16270.497,28332.538,4031.828
1995,"High",0.033,79.893,1.731,9628.457,293.386,67.124,2812.946,7141.874,1782.171
1995,"Medium",0.003,0,1.379,1680.041,22.601,1.566,408.704,1518.623,296.583
1995,"Very high",1.746,34.918,19.796,14010.461,6036.175,325.7,16961.69,28570.845,4267.372
1996,"High",0.042,83.174,0.285,9897.43,322.208,67.401,3059.678,7455.403,1844.799
1996,"Medium",0.017,0,2.44,1730.888,24.245,2.1,442.158,1610.557,286.223
1996,"Very high",1.899,26.76,22.732,14312.695,6227.688,335.097,17660.236,29041.082,4278.478
1997,"High",0.048,80.362,0.596,9787.815,333.675,75.068,3077.349,7899.266,1876.042
1997,"Medium",0.017,0,2.744,1807.188,29.229,2.727,456.05,1760.752,272.411
1997,"Very high",2.038,34.196,29.77,14257.465,6171.547,356.556,17492.388,29391.144,4392.25
1998,"High",0.058,78.883,1.053,9702.148,320.75,82.059,3152.257,8025.757,1940.535
1998,"Medium",0.017,0,2.997,1867.42,32.679,3.59,489.278,1713.271,323.833
1998,"Very high",2.235,36.941,39.926,14094.508,6293.709,369.53,17729.423,29446.128,4313.345
1999,"High",0.066,79.064,1.519,9989.861,316.194,90.969,3334.245,8228.208,1981.207
1999,"Medium",0.017,0,4.017,1848.651,35.576,4.684,525.137,1752.534,302.699
1999,"Very high",2.463,38.706,53.043,13941.018,6547.867,380.36,18128.124,29900.379,4317.075
2000,"High",0.113,67.689,2.048,10196.004,337.097,97.021,4004.083,8595.472,2105.028
2000,"Medium",0.02,0.288,4.572,1970.442,46.428,7.258,554.101,1880.925,275.589
2000,"Very high",2.961,46.354,79.941,14497.786,6673.124,392.566,18859.675,29971.27,4355.113
2001,"High",0.151,64.138,2.775,10674.031,351.495,99.352,4271.095,8678.316,2144.494
2001,"Medium",0.031,0.333,6.322,1995.97,57.884,8.117,571.912,1931.315,264.58
2001,"Very high",3.654,49.874,96.074,14407.319,6810.918,400.494,18823.318,30133.581,4104.465
2002,"High",0.211,73.738,3.26,11529.505,380.282,102.121,4562.039,8924.27,2209.89
2002,"Medium",0.036,0.311,6.249,2084.626,58.262,8.501,600.698,1996.658,260.796
2002,"Very high",4.554,61.038,132.934,14521.619,6839.479,432.468,19217.566,30136.237,4112.352
2003,"High",0.265,71.315,3.9,13505.935,439.359,108.561,4718.909,9322.912,2239.174
2003,"Medium",0.046,0.335,7.649,2185.808,54.613,10.226,669.884,1993.467,274.726
2003,"Very high",5.794,82.047,158.834,14949.4,6591.217,451.077,19619.35,30623.761,3994.824
2004,"High",0.313,83.221,5.439,15473.527,464.688,113.916,5078.178,10168.717,2507.39
2004,"Medium",0.054,0.384,14.683,2328.647,64.077,11.886,747.01,2066.287,365.291
2004,"Very high",7.629,105.169,209.059,14978.503,6834.063,485.468,20116.313,31246.767,4090.798
2005,"High",0.347,92.798,7.422,17723.027,467.492,126.095,5347.977,10407.802,2692.158
2005,"Medium",0.058,0.444,16.67,2551.918,54.51,10.854,820.02,2077.354,362.4
2005,"Very high",10.711,135.086,254.574,14999.829,6811.085,522.456,20474.383,31487.56,4103.98
2006,"High",0.457,89.819,13.072,19350.213,480.369,133.931,5712.49,10764.875,2873.196
2006,"Medium",0.033,0.508,25.452,2654.157,53.9,14.934,854.653,2186.895,399.848
2006,"Very high",14.687,199.463,314.528,15139.067,6845.384,549.191,20765.346,31521.272,4132.237
